"","admitted_dt","inmateid","inmate_status_code","top_charge","release_date_approx","age","first_admin_date","last_admin_date","order_adm_times"
"1",2015-01-29,20131130,"DE","160.15",2019-12-24,25,2015-01-29,2022-10-06,1
"2",2015-05-01,20099979,"DE","110-125.25",2021-10-28,36,2015-05-01,2021-12-22,1
"3",2015-10-29,131514,"DE","",2020-01-31,48,2015-10-29,2020-05-14,1
"4",2015-11-14,20159382,"DE","",2020-04-22,27,2015-11-14,2022-09-01,1
"5",2016-03-17,20129795,"SSR","",2019-10-17,22,2016-03-17,2021-12-16,1
"6",2016-04-06,139381,"DE","160.15",2019-10-29,35,2016-04-06,2021-04-07,1
"7",2016-04-20,20166189,"DE","155.35",2019-12-19,67,2016-04-20,2020-01-23,1
"8",2016-04-29,10011413,"DE","125.25",2021-03-18,30,2016-04-29,2021-07-03,1
"9",2016-05-04,143937,"DPV","",2020-04-08,51,2016-05-04,2020-06-05,1
"10",2016-06-25,20012297,"DE","125.25",2021-03-26,42,2016-06-25,2022-06-07,1
"11",2016-07-22,20143945,"DE","140.25",2019-12-20,22,2016-07-22,2021-12-16,1
"12",2016-07-25,20170391,"DE","110-125.27",2019-10-30,26,2016-07-25,2022-10-06,1
"13",2016-08-19,20171547,"DE","125.25",2021-06-02,21,2016-08-19,2021-06-22,1
"14",2016-10-17,13827,"DEP","170.20",2020-07-23,34,2016-10-17,2020-09-19,1
"15",2016-11-16,41527,"DE","205.25",2019-11-14,37,2016-11-16,2021-11-13,1
"16",2016-11-28,20144700,"DE","125.25",2019-12-04,56,2016-11-28,2020-02-18,1
"17",2016-12-04,32070,"DE","125.25",2020-10-20,35,2016-12-04,2022-12-08,1
"18",2016-12-23,20176002,"DE","110-125.27",2020-10-20,42,2016-12-23,2021-03-29,1
"19",2017-03-11,20161410,"DE","125.25",2020-06-01,48,2017-03-11,2022-12-30,1
"20",2017-03-17,20179703,"DE","125.27",2022-07-21,31,2017-03-17,2022-09-21,1
"21",2017-03-22,20179901,"DNS","",2020-02-04,39,2017-03-22,2021-02-10,1
"22",2017-04-02,135239,"SSR","",2019-12-17,29,2017-04-02,2023-02-02,1
"23",2017-05-12,20182045,"DE","220.21",2020-03-06,58,2017-05-12,2021-07-13,1
"24",2017-05-17,20020838,"DE","125.25",2020-04-01,58,2017-05-17,2022-11-23,1
"25",2017-05-19,20182363,"DE","125.25",2022-07-05,31,2017-05-19,2022-08-24,1
"26",2017-05-23,132513,"SSR","",2019-12-06,29,2017-05-23,2021-08-14,1
"27",2017-06-03,20004328,"DE","265.03",2020-04-24,56,2017-06-03,2020-07-21,1
"28",2017-06-10,16308,"DE","125.25",2019-12-30,41,2017-06-10,2020-03-06,1
"29",2017-06-10,20173705,"DNS","",2019-10-22,19,2017-06-10,2022-11-16,1
"30",2017-06-22,20183779,"DE","125.25",2022-07-21,25,2017-06-22,2023-02-06,1
"31",2017-07-28,141467,"DE","110-125.25",2021-06-22,76,2017-07-28,2022-11-29,1
"32",2017-07-28,10002462,"DE","125.25",2021-10-18,31,2017-07-28,2022-10-17,1
"33",2017-08-04,20185454,"SSR","",2020-01-16,24,2017-08-04,2020-12-12,1
"34",2017-08-11,20022561,"SSR","",2019-10-17,36,2017-08-11,2020-02-10,1
"35",2017-08-23,20186117,"DE","105.13",2022-01-14,28,2017-08-23,2022-03-09,1
"36",2017-08-25,20186185,"DE","110-120.10",2019-10-31,21,2017-08-25,2022-12-18,1
"37",2017-09-08,100826,"SSR","",2019-10-21,31,2017-09-08,2023-01-13,1
"38",2017-09-23,20039691,"SSR","",2019-12-19,26,2017-09-23,2022-07-14,1
"39",2017-10-06,20187755,"DE","FOA 900.00",2020-10-28,29,2017-10-06,2020-10-27,1
"40",2017-10-12,10008677,"DE","120.05",2019-11-09,27,2017-10-12,2021-05-10,1
"41",2017-10-17,10015577,"SSR","",2020-01-02,46,2017-10-17,2023-01-21,1
"42",2017-10-24,160310,"SSR","",2021-02-27,35,2017-10-24,2022-04-18,1
"43",2017-11-01,43974,"DE","220.41",2020-01-01,55,2017-11-01,2022-08-09,1
"44",2017-11-03,21189,"DE","",2020-01-31,48,2017-11-03,2022-03-26,1
"45",2017-11-05,20025862,"SSR","",2019-11-26,30,2017-11-05,2021-04-07,1
"46",2017-11-09,20081355,"SSR","",2019-11-21,27,2017-11-09,2022-07-15,1
"47",2017-12-01,106403,"SSR","",2019-10-31,29,2017-12-01,2022-05-25,1
"48",2017-12-04,20127162,"DE","265.02",2019-10-23,27,2017-12-04,2022-09-21,1
"49",2017-12-08,147933,"SSR","",2019-10-15,39,2017-12-08,2022-10-13,1
"50",2017-12-12,68056,"DE","140.20",2019-12-06,56,2017-12-12,2021-09-21,1
"51",2017-12-24,88490,"DE","",2020-04-04,52,2017-12-24,2022-01-28,1
"52",2018-01-04,58002,"SSR","",2019-10-31,31,2018-01-04,2022-06-22,1
"53",2018-01-04,20190812,"DE","110-125.25",2020-01-07,34,2018-01-04,2020-01-09,1
"54",2018-01-09,90543,"DE","220.16",2019-12-17,38,2018-01-09,2020-01-24,1
"55",2018-01-09,20190920,"DE","150.15",2020-02-27,53,2018-01-09,2022-03-16,1
"56",2018-01-10,20190960,"DE","125.25",2021-01-23,23,2018-01-10,2022-05-09,1
"57",2018-01-12,20007140,"DEP","CO",2020-01-22,29,2018-01-12,2023-01-07,1
"58",2018-01-19,20078374,"SSR","",2019-12-19,24,2018-01-19,2020-08-06,1
"59",2018-01-19,20191333,"DE","",2019-12-12,42,2018-01-19,2023-01-25,1
"60",2018-01-25,20191422,"DE","110-125.25",2021-07-01,23,2018-01-25,2022-06-30,1
"61",2018-01-26,17874,"DE","215.50",2019-12-21,48,2018-01-26,2020-01-10,1
"62",2018-01-30,109214,"DE","110-120.10",2020-11-05,32,2018-01-30,2021-08-18,1
"63",2018-02-01,46156,"SSR","",2019-10-29,48,2018-02-01,2022-03-26,1
"64",2018-02-03,20044839,"DE","125.25",2021-03-09,26,2018-02-03,2021-04-16,1
"65",2018-02-08,101354,"SSR","",2020-02-06,61,2018-02-08,2022-12-20,1
"66",2018-02-09,20078468,"DE","110-125.25",2021-10-18,26,2018-02-09,2022-02-17,1
"67",2018-02-16,20179154,"DE","105.17",2020-01-27,20,2018-02-16,2020-10-09,1
"68",2018-02-16,20192281,"DE","160.15",2020-06-04,24,2018-02-16,2021-10-13,1
"69",2018-02-23,20192452,"DE","130.96",2022-01-13,31,2018-02-23,2022-10-04,1
"70",2018-02-24,20170482,"DE","AC 000.00",2020-01-14,26,2018-02-24,2022-04-06,1
"71",2018-02-28,20105674,"SSR","",2020-11-16,32,2018-02-28,2021-03-09,1
"72",2018-03-03,20192679,"SSR","",2019-12-16,27,2018-03-03,2021-03-20,1
"73",2018-03-05,20192711,"DE","130.35",2020-11-25,28,2018-03-05,2022-01-10,1
"74",2018-03-11,20179058,"SSR","",2019-12-05,21,2018-03-11,2022-11-30,1
"75",2018-03-16,66984,"DE","140.25",2019-11-22,34,2018-03-16,2020-02-05,1
"76",2018-03-19,123184,"DE","140.30SM",2020-03-16,42,2018-03-19,2021-09-28,1
"77",2018-03-20,20193156,"SSR","",2020-02-14,19,2018-03-20,2022-08-31,1
"78",2018-03-24,20188017,"DE","110-125.25",2021-06-10,21,2018-03-24,2022-06-03,1
"79",2018-03-28,20135410,"DE","110-120.10",2020-10-29,24,2018-03-28,2021-05-21,1
"80",2018-03-29,20170070,"SSR","",2019-10-10,44,2018-03-29,2022-05-03,1
"81",2018-04-05,36860,"DE","125.25",2022-02-24,33,2018-04-05,2022-06-29,1
"82",2018-04-06,67847,"SSR","",2020-02-27,35,2018-04-06,2022-07-12,1
"83",2018-04-10,20145135,"DE","155.40",2019-12-11,55,2018-04-10,2021-05-25,1
"84",2018-04-14,52295,"DEP","220.43",2020-05-20,41,2018-04-14,2021-12-01,1
"85",2018-04-20,17941,"DE","265.03",2020-02-24,51,2018-04-20,2022-01-31,1
"86",2018-04-20,20179641,"DE","120.05",2019-12-18,24,2018-04-20,2023-01-29,1
"87",2018-04-21,20194133,"DE","220.39",2019-12-21,47,2018-04-21,2022-06-23,1
"88",2018-04-26,20039460,"DE","140.20",2019-10-30,25,2018-04-26,2022-03-01,1
"89",2018-04-30,20122837,"DE","160.15",2021-10-18,24,2018-04-30,2022-06-27,1
"90",2018-05-09,20194711,"DE","",2020-03-30,32,2018-05-09,2021-08-31,1
"91",2018-05-10,20194746,"DE","110-150.15",2019-10-17,45,2018-05-10,2019-12-10,1
"92",2018-05-17,145664,"SSR","140.20",2020-03-03,68,2018-05-17,2022-04-08,1
"93",2018-05-19,20465,"DE","265.03",2020-05-29,40,2018-05-19,2022-03-09,1
"94",2018-05-20,20024643,"DEP","150.15",2020-03-09,39,2018-05-20,2020-08-12,1
"95",2018-05-22,20158409,"DE","155.40",2019-12-20,NA,2018-05-22,2020-05-18,1
"96",2018-05-23,22140,"SSR","110-120.07",2021-02-09,34,2018-05-23,2021-07-20,1
"97",2018-05-25,2435,"SSR","",2019-12-19,45,2018-05-25,2021-10-10,1
"98",2018-05-25,122612,"SSR","145.20",2020-08-25,34,2018-05-25,2021-10-26,1
"99",2018-05-25,20195254,"DE","110-120.10",2020-08-20,39,2018-05-25,2020-11-26,1
"100",2018-05-27,20195308,"SSR","120.00",2021-03-26,22,2018-05-27,2023-01-10,1
"101",2018-05-29,10003246,"DE","265.03",2019-11-15,40,2018-05-29,2021-01-29,1
"102",2018-05-29,10015508,"SSR","110-265.02",2020-10-19,28,2018-05-29,2022-11-30,1
"103",2018-05-31,20144479,"DE","AC 000.00",2019-10-15,34,2018-05-31,2022-12-03,1
"104",2018-06-04,20176487,"DE","160.15",2020-02-14,20,2018-06-04,2020-11-20,1
"105",2018-06-05,20178956,"DE","125.25",2020-08-19,38,2018-06-05,2021-02-16,1
"106",2018-06-08,20049780,"DE","265.03",2019-11-16,26,2018-06-08,2022-02-08,1
"107",2018-06-10,23035,"SSR","",2020-02-24,33,2018-06-10,2023-01-09,1
"108",2018-06-10,20190286,"DE","110-125.25",2019-11-12,31,2018-06-10,2021-08-10,1
"109",2018-06-11,65560,"SSR","",2020-01-23,45,2018-06-11,2022-12-16,1
"110",2018-06-13,20179700,"DE","105.15",2020-04-18,25,2018-06-13,2020-10-25,1
"111",2018-06-13,20195785,"SSR","",2019-11-20,32,2018-06-13,2020-03-11,1
"112",2018-06-15,20142399,"DNS","",2022-01-10,23,2018-06-15,2022-11-06,1
"113",2018-06-18,10426,"DE","120.05",2019-12-19,31,2018-06-18,2021-09-04,1
"114",2018-06-19,20184427,"SSR","",2020-03-16,19,2018-06-19,2022-08-30,1
"115",2018-06-19,20195084,"CS","120.25",2019-10-30,21,2018-06-19,2021-06-19,1
"116",2018-06-21,130621,"DE","",2019-11-27,31,2018-06-21,2019-11-28,1
"117",2018-06-23,20062620,"SSR","",2019-12-05,64,2018-06-23,2021-09-08,1
"118",2018-06-23,20196115,"DE","220.41",2019-12-13,42,2018-06-23,2020-02-18,1
"119",2018-06-26,10015765,"CS","165.06",2019-10-24,40,2018-06-26,2019-12-12,1
"120",2018-06-28,75456,"DEP","140.25",2020-04-03,43,2018-06-28,2020-12-28,1
"121",2018-06-28,20158477,"DE","CO",2019-12-10,20,2018-06-28,2021-05-26,1
"122",2018-07-01,20196327,"SSR","",2019-12-03,20,2018-07-01,2021-12-23,1
"123",2018-07-06,20116941,"DE","130.35",2021-07-31,26,2018-07-06,2022-06-23,1
"124",2018-07-06,20177985,"DE","265.03",2020-03-28,21,2018-07-06,2021-10-14,1
"125",2018-07-10,20049281,"DE","110-120.10",2020-05-19,27,2018-07-10,2022-03-15,1
"126",2018-07-11,20084591,"SSR","",2019-10-18,26,2018-07-11,2023-01-14,1
"127",2018-07-11,20195515,"DE","125.25",2022-09-12,21,2018-07-11,2022-10-03,1
"128",2018-07-12,20180769,"DE","140.20",2020-01-15,56,2018-07-12,2022-06-30,1
"129",2018-07-14,20054135,"DE","",2020-01-17,28,2018-07-14,2021-02-14,1
"130",2018-07-15,20096203,"DE","",2020-01-31,55,2018-07-15,2020-12-13,1
"131",2018-07-17,5189,"DE","110-125.25",2020-02-04,41,2018-07-17,2020-10-17,1
"132",2018-07-19,42356,"SSR","",2022-03-21,37,2018-07-19,2022-10-29,1
"133",2018-07-19,45761,"DE","110-265.03",2019-12-20,37,2018-07-19,2022-09-28,1
"134",2018-07-19,20194712,"DE","",2019-10-10,33,2018-07-19,2019-10-09,1
"135",2018-07-20,30409,"DE","160.15",2020-01-29,40,2018-07-20,2021-05-08,1
"136",2018-07-20,138596,"SSR","",2019-12-26,50,2018-07-20,2022-10-14,1
"137",2018-07-20,10004650,"DE","125.25",2019-10-22,32,2018-07-20,2019-12-31,1
"138",2018-07-22,6193,"DE","220.16",2020-01-03,53,2018-07-22,2021-10-06,1
"139",2018-07-22,109757,"CS","121.11",2019-11-20,40,2018-07-22,2022-12-08,1
"140",2018-07-22,20107318,"SSR","",2019-11-04,30,2018-07-22,2023-01-06,1
"141",2018-07-22,20111273,"DE","170.25",2020-05-30,23,2018-07-22,2021-02-19,1
"142",2018-07-22,20196906,"DE","CO",2019-12-26,39,2018-07-22,2020-01-22,1
"143",2018-07-24,20040470,"DE","120.05",2019-12-24,44,2018-07-24,2022-12-24,1
"144",2018-07-26,20196994,"DE","125.25",2021-10-18,34,2018-07-26,2021-11-09,1
"145",2018-07-27,20148192,"DE","130.50",2020-07-18,21,2018-07-27,2021-10-21,1
"146",2018-07-27,20197027,"DE","220.21",2019-12-17,33,2018-07-27,2020-02-18,1
"147",2018-07-28,20020842,"DE","110-125.25",2020-05-27,38,2018-07-28,2021-12-20,1
"148",2018-07-28,20033531,"DE","140.30",2020-08-01,29,2018-07-28,2022-09-28,1
"149",2018-07-30,20190493,"DE","125.25",2021-10-18,21,2018-07-30,2022-11-09,1
"150",2018-08-01,1259,"SSR","",2019-10-17,47,2018-08-01,2023-02-01,1
"151",2018-08-01,73623,"DE","121.12",2019-10-11,54,2018-08-01,2021-10-12,1
"152",2018-08-01,79482,"SSR","",2020-12-17,36,2018-08-01,2022-08-25,1
"153",2018-08-01,20050842,"DE","140.25",2020-11-24,33,2018-08-01,2022-04-13,1
"154",2018-08-01,20053914,"DE","265.09",2020-01-24,33,2018-08-01,2020-06-05,1
"155",2018-08-02,20161208,"DE","125.15",2019-12-19,22,2018-08-02,2021-09-30,1
"156",2018-08-03,20197195,"DE","220.43",2019-11-26,39,2018-08-03,2022-03-04,1
"157",2018-08-04,57111,"SSR","",2020-02-13,43,2018-08-04,2022-08-08,1
"158",2018-08-05,108412,"CS","165.40",2019-11-29,48,2018-08-05,2022-08-13,1
"159",2018-08-06,20196989,"DE","AC 000.00",2019-11-04,26,2018-08-06,2022-06-06,1
"160",2018-08-06,20197268,"DEP","140.25",2020-02-15,59,2018-08-06,2020-11-28,1
"161",2018-08-07,20093132,"DE","215.52",2019-11-08,33,2018-08-07,2020-11-14,1
"162",2018-08-07,20192356,"DE","215.52",2020-01-25,53,2018-08-07,2020-03-13,1
"163",2018-08-08,156673,"DE","265.03",2020-06-12,40,2018-08-08,2022-02-25,1
"164",2018-08-09,20191434,"DE","135.65",2021-10-18,33,2018-08-09,2021-10-14,1
"165",2018-08-11,30296,"DE","",2020-02-13,38,2018-08-11,2022-07-16,1
"166",2018-08-11,20197433,"DE","220.41",2020-03-10,24,2018-08-11,2020-07-28,1
"167",2018-08-13,27367,"DE","",2019-10-11,39,2018-08-13,2021-01-20,1
"168",2018-08-13,31991,"DEP","220.16",2019-10-12,33,2018-08-13,2021-06-09,1
"169",2018-08-15,20045671,"SSR","",2019-11-07,29,2018-08-15,2022-04-02,1
"170",2018-08-16,20014943,"DE","",2020-03-29,35,2018-08-16,2021-03-17,1
"171",2018-08-16,20146917,"SSR","",2020-10-06,26,2018-08-16,2022-04-03,1
"172",2018-08-18,20051670,"SSR","",2019-12-03,27,2018-08-18,2021-09-22,1
"173",2018-08-20,20163302,"DE","140.25",2019-12-19,40,2018-08-20,2022-04-04,1
"174",2018-08-20,20174676,"SSR","",2019-11-27,65,2018-08-20,2022-09-20,1
"175",2018-08-21,59646,"DE","170.25",2019-12-06,31,2018-08-21,2021-08-25,1
"176",2018-08-21,10004640,"DE","265.03",2020-04-21,27,2018-08-21,2020-09-15,1
"177",2018-08-22,135571,"DEP","110-125.27",2020-05-21,30,2018-08-22,2020-08-05,1
"178",2018-08-22,20060945,"SSR","",2019-10-11,29,2018-08-22,2021-11-25,1
"179",2018-08-23,121933,"DE","130.65",2020-05-22,34,2018-08-23,2022-07-16,1
"180",2018-08-24,152258,"DE","140.25",2019-12-31,54,2018-08-24,2022-03-02,1
"181",2018-08-24,157675,"DE","110-125.25",2022-01-14,30,2018-08-24,2022-08-30,1
"182",2018-08-24,20104827,"DE","110-125.25",2019-10-22,24,2018-08-24,2019-10-21,1
"183",2018-08-24,20160623,"DE","121.12",2019-12-20,25,2018-08-24,2022-12-13,1
"184",2018-08-25,85144,"DE","125.25",2019-11-27,34,2018-08-25,2022-09-07,1
"185",2018-08-25,20035309,"DE","160.15",2020-01-29,29,2018-08-25,2022-01-07,1
"186",2018-08-28,79963,"DE","120.10",2019-11-02,30,2018-08-28,2022-02-22,1
"187",2018-08-28,20142953,"DE","220.16",2020-02-03,33,2018-08-28,2021-03-07,1
"188",2018-08-30,20192737,"DE","120.05",2019-10-24,51,2018-08-30,2022-09-20,1
"189",2018-08-30,20197929,"DE","130.96",2020-01-18,46,2018-08-30,2022-07-18,1
"190",2018-08-31,63284,"CS","AC 999.99",2019-12-25,53,2018-08-31,2020-06-20,1
"191",2018-09-02,122553,"DE","125.25",2022-10-11,33,2018-09-02,2022-10-25,1
"192",2018-09-04,20072935,"DE","",2020-04-23,NA,2018-09-04,2021-08-25,1
"193",2018-09-05,20138456,"SSR","",2019-12-03,42,2018-09-05,2022-10-20,1
"194",2018-09-06,20148523,"SSR","",2020-08-06,32,2018-09-06,2021-12-02,1
"195",2018-09-06,20167077,"DNS","",2019-12-09,23,2018-09-06,2022-01-22,1
"196",2018-09-07,2448,"SSR","",2019-12-27,33,2018-09-07,2020-12-14,1
"197",2018-09-07,63158,"DE","220.39",2019-12-24,39,2018-09-07,2020-10-07,1
"198",2018-09-07,87838,"DE","160.15",2020-01-17,29,2018-09-07,2020-02-26,1
"199",2018-09-07,20099775,"DE","140.25",2020-08-27,39,2018-09-07,2023-01-14,1
"200",2018-09-07,20119019,"DE","110-120.10",2020-03-18,27,2018-09-07,2022-06-23,1
"201",2018-09-08,81450,"SSR","",2020-01-10,35,2018-09-08,2023-01-11,1
"202",2018-09-08,20149837,"DEP","205.60",2019-11-16,31,2018-09-08,2022-05-25,1
"203",2018-09-10,120031,"CS","155.25",2020-01-10,38,2018-09-10,2022-12-14,1
"204",2018-09-12,20187345,"SSR","",2019-10-15,20,2018-09-12,2022-08-12,1
"205",2018-09-13,3860,"DE","110-125.25",2019-11-13,31,2018-09-13,2021-05-06,1
"206",2018-09-14,20114722,"DEP","CO",2019-11-21,51,2018-09-14,2020-03-10,1
"207",2018-09-15,32898,"DE","220.16",2019-12-12,71,2018-09-15,2020-01-29,1
"208",2018-09-15,20086213,"CS","110-125.25",2020-01-14,48,2018-09-15,2020-01-14,1
"209",2018-09-15,20101231,"DE","",2020-07-17,26,2018-09-15,2022-08-25,1
"210",2018-09-15,20179076,"DE","220.16",2019-12-12,36,2018-09-15,2020-01-29,1
"211",2018-09-16,17267,"SSR","",2019-10-24,62,2018-09-16,2023-01-13,1
"212",2018-09-17,98231,"DE","",2020-03-29,36,2018-09-17,2022-04-07,1
"213",2018-09-17,20075481,"DE","125.25",2021-03-09,29,2018-09-17,2022-12-21,1
"214",2018-09-18,20162245,"DE","110-125.25",2020-04-21,20,2018-09-18,2022-07-29,1
"215",2018-09-18,20198419,"CS","140.25",2020-01-16,33,2018-09-18,2023-01-15,1
"216",2018-09-19,27848,"SSR","",2021-06-10,45,2018-09-19,2023-01-11,1
"217",2018-09-19,41648,"DE","140.25",2019-12-31,54,2018-09-19,2020-01-25,1
"218",2018-09-19,20141797,"CS","215.50",2019-10-11,45,2018-09-19,2021-06-28,1
"219",2018-09-20,42072,"SSR","",2021-04-01,32,2018-09-20,2022-03-18,1
"220",2018-09-20,20185093,"DE","265.03",2019-12-30,31,2018-09-20,2020-01-14,1
"221",2018-09-21,116980,"DE","140.20",2019-12-03,33,2018-09-21,2021-09-30,1
"222",2018-09-21,20110775,"DE","120.05",2019-11-09,24,2018-09-21,2020-11-29,1
"223",2018-09-22,67642,"DE","265.03",2020-05-15,37,2018-09-22,2021-07-01,1
"224",2018-09-22,20114099,"DE","140.25",2019-12-20,33,2018-09-22,2022-10-24,1
"225",2018-09-24,81885,"DE","",2020-04-17,40,2018-09-24,2020-04-17,1
"226",2018-09-24,20178826,"DE","120.05",2019-12-04,27,2018-09-24,2020-12-22,1
"227",2018-09-24,20198581,"DE","110-125.25",2020-05-12,54,2018-09-24,2020-11-03,1
"228",2018-09-25,20188307,"SSR","",2019-12-13,38,2018-09-25,2021-10-13,1
"229",2018-09-26,38296,"DEP","160.10",2020-02-27,38,2018-09-26,2021-11-14,1
"230",2018-09-27,20178596,"DE","160.15",2020-10-08,20,2018-09-27,2022-10-27,1
"231",2018-09-29,15188,"SSR","",2020-01-29,48,2018-09-29,2023-01-22,1
"232",2018-10-01,20198742,"DE","125.15",2020-01-01,24,2018-10-01,2023-01-10,1
"233",2018-10-02,62440,"DE","265.03",2021-03-30,38,2018-10-02,2022-02-02,1
"234",2018-10-02,20198773,"DE","130.96",2021-10-18,66,2018-10-02,2021-09-28,1
"235",2018-10-03,20103853,"DE","190.80",2019-11-14,23,2018-10-03,2021-12-21,1
"236",2018-10-04,20052685,"DE","220.43",2019-12-18,61,2018-10-04,2022-12-07,1
"237",2018-10-04,20180829,"DE","",2019-12-31,49,2018-10-04,2021-09-16,1
"238",2018-10-04,20185247,"DE","140.30",2020-06-23,22,2018-10-04,2022-08-14,1
"239",2018-10-04,20198810,"DE","140.20",2019-12-17,51,2018-10-04,2022-08-24,1
"240",2018-10-04,20198816,"DE","220.43",2019-12-18,63,2018-10-04,2022-05-03,1
"241",2018-10-05,85319,"DE","220.03",2019-12-20,41,2018-10-05,2022-09-29,1
"242",2018-10-06,41386,"DE","155.30",2020-01-03,49,2018-10-06,2021-03-04,1
"243",2018-10-07,20165579,"CS","120.05",2020-02-18,23,2018-10-07,2020-02-18,1
"244",2018-10-10,20198996,"DNS","",2020-12-04,60,2018-10-10,2021-12-29,1
"245",2018-10-11,22671,"SSR","",2019-12-03,45,2018-10-11,2023-02-05,1
"246",2018-10-11,20008584,"DE","220.16",2021-04-17,54,2018-10-11,2021-07-26,1
"247",2018-10-11,20125013,"CS","110-130.65",2020-02-10,40,2018-10-11,2020-02-10,1
"248",2018-10-12,55469,"CS","215.51",2019-11-02,38,2018-10-12,2022-06-11,1
"249",2018-10-12,133490,"DE","155.30",2019-10-24,42,2018-10-12,2022-10-14,1
"250",2018-10-13,140838,"SSR","",2020-02-20,29,2018-10-13,2022-01-21,1
"251",2018-10-13,20024405,"SSR","130.53",2019-12-03,59,2018-10-13,2022-10-27,1
"252",2018-10-13,20120383,"DEP","155.30",2020-04-16,57,2018-10-13,2022-10-14,1
"253",2018-10-13,20138949,"SSR","",2020-03-07,21,2018-10-13,2022-08-29,1
"254",2018-10-16,82930,"DE","265.03",2021-10-28,33,2018-10-16,2022-11-03,1
"255",2018-10-17,111782,"DE","220.39",2019-11-13,32,2018-10-17,2022-04-19,1
"256",2018-10-17,20199162,"DE","110-140.25",2019-11-18,26,2018-10-17,2022-11-11,1
"257",2018-10-18,20162427,"DE","220.21",2019-11-18,53,2018-10-18,2019-12-04,1
"258",2018-10-18,20199220,"DE","110-150.15",2019-10-10,25,2018-10-18,2019-12-24,1
"259",2018-10-19,20153828,"CS","160.05",2020-02-13,21,2018-10-19,2020-10-03,1
"260",2018-10-19,20199268,"DE","220.21",2020-01-01,37,2018-10-19,2022-12-13,1
"261",2018-10-20,20041696,"SSR","265.03",2021-03-30,35,2018-10-20,2023-02-07,1
"262",2018-10-20,20088921,"DEP","140.25",2020-02-20,33,2018-10-20,2021-04-22,1
"263",2018-10-20,20160581,"DE","110-125.25",2019-12-09,29,2018-10-20,2020-07-07,1
"264",2018-10-20,20199273,"DE","220.21",2019-12-31,57,2018-10-20,2021-07-27,1
"265",2018-10-22,20097935,"DE","160.05",2019-12-13,26,2018-10-22,2022-09-20,1
"266",2018-10-22,20180149,"CS","VTL 1192.4",2020-01-16,19,2018-10-22,2023-02-05,1
"267",2018-10-25,1735,"DE","110-125.25",2020-07-07,59,2018-10-25,2022-02-18,1
"268",2018-10-26,16842,"DE","170.25",2020-01-03,52,2018-10-26,2020-08-05,1
"269",2018-10-26,20163100,"DE","160.05",2020-01-02,51,2018-10-26,2022-12-20,1
"270",2018-10-27,109061,"DE","140.25",2019-11-25,31,2018-10-27,2020-07-20,1
"271",2018-10-27,20062802,"DE","",2020-01-10,26,2018-10-27,2022-12-01,1
"272",2018-10-27,20199469,"SSR","",2019-12-27,33,2018-10-27,2021-06-22,1
"273",2018-10-28,20017277,"DPV","",2020-03-02,39,2018-10-28,2021-08-25,1
"274",2018-10-28,20199068,"DE","215.51",2019-11-27,24,2018-10-28,2022-06-08,1
"275",2018-10-28,20199499,"DE","",2020-01-31,18,2018-10-28,2022-06-23,1
"276",2018-10-31,128074,"DE","110-125.25",2020-06-12,31,2018-10-31,2021-10-21,1
"277",2018-10-31,128209,"DE","160.15",2019-11-19,40,2018-10-31,2022-10-22,1
"278",2018-10-31,20199580,"SSR","",2020-01-30,19,2018-10-31,2022-05-21,1
"279",2018-10-31,20199594,"DE","220.77",2020-02-05,49,2018-10-31,2022-01-12,1
"280",2018-11-02,73299,"DE","265.01",2020-01-16,34,2018-11-02,2022-04-06,1
"281",2018-11-02,78011,"DE","220.39",2019-12-31,37,2018-11-02,2021-04-20,1
"282",2018-11-02,10011487,"DEP","240.32",2020-08-18,29,2018-11-02,2021-08-07,1
"283",2018-11-03,20199666,"DE","130.96",2020-04-29,38,2018-11-03,2022-04-14,1
"284",2018-11-04,20199694,"DE","265.03",2020-09-10,44,2018-11-04,2022-05-06,1
"285",2018-11-05,145001,"DPV","",2019-11-06,29,2018-11-05,2021-11-15,1
"286",2018-11-05,20028220,"SSR","",2020-09-21,28,2018-11-05,2021-04-13,1
"287",2018-11-07,20027606,"DE","230.32",2020-09-14,42,2018-11-07,2020-12-30,1
"288",2018-11-08,164669,"DEP","220.16",2020-05-16,28,2018-11-08,2022-02-03,1
"289",2018-11-08,20160800,"CS","160.05",2020-01-17,20,2018-11-08,2020-09-23,1
"290",2018-11-08,20182800,"DE","160.10",2020-09-16,19,2018-11-08,2022-02-23,1
"291",2018-11-09,4276,"DE","125.25",2022-10-12,40,2018-11-09,2022-10-07,1
"292",2018-11-09,139276,"DE","140.25",2019-12-04,51,2018-11-09,2020-02-01,1
"293",2018-11-09,20004918,"DE","140.20",2019-10-23,60,2018-11-09,2023-01-04,1
"294",2018-11-09,20116842,"SSR","160.05",2019-10-16,30,2018-11-09,2021-07-27,1
"295",2018-11-09,20199821,"DE","160.10",2019-12-31,20,2018-11-09,2020-09-12,1
"296",2018-11-10,20093127,"DE","160.15",2020-11-05,51,2018-11-10,2023-01-20,1
"297",2018-11-10,20097310,"DE","160.15",2020-02-22,25,2018-11-10,2022-06-14,1
"298",2018-11-10,20199838,"DE","110-125.25",2020-04-28,52,2018-11-10,2021-03-09,1
"299",2018-11-11,16828,"CS","140.20",2020-03-15,45,2018-11-11,2021-08-31,1
"300",2018-11-12,20199873,"DE","120.10",2019-12-20,46,2018-11-12,2022-08-16,1
