"","inmateid","release_date_approx","order_adm_times"
"191",122553,"2022-10-11",1
"192",20072935,"2020-04-23",1
"193",20138456,"2019-12-03",1
"194",20148523,"2020-08-06",1
"195",20167077,"2019-12-09",1
"196",2448,"2019-12-27",1
"197",63158,"2019-12-24",1
"198",87838,"2020-01-17",1
"199",20099775,"2020-08-27",1
"200",20119019,"2020-03-18",1
"201",81450,"2020-01-10",1
"202",20149837,"2019-11-16",1
"203",120031,"2020-01-10",1
"204",20187345,"2019-10-15",1
"205",3860,"2019-11-13",1
"206",20114722,"2019-11-21",1
"207",32898,"2019-12-12",1
"208",20086213,"2020-01-14",1
"209",20101231,"2020-07-17",1
"210",20179076,"2019-12-12",1
"211",17267,"2019-10-24",1
"212",98231,"2020-03-29",1
"213",20075481,"2021-03-09",1
"214",20162245,"2020-04-21",1
"215",20198419,"2020-01-16",1
"216",27848,"2021-06-10",1
"217",41648,"2019-12-31",1
"218",20141797,"2019-10-11",1
"219",42072,"2021-04-01",1
"220",20185093,"2019-12-30",1
"221",116980,"2019-12-03",1
"222",20110775,"2019-11-09",1
"223",67642,"2020-05-15",1
"224",20114099,"2019-12-20",1
"225",81885,"2020-04-17",1
"226",20178826,"2019-12-04",1
"227",20198581,"2020-05-12",1
"228",20188307,"2019-12-13",1
"229",38296,"2020-02-27",1
"230",20178596,"2020-10-08",1
"231",15188,"2020-01-29",1
"232",20198742,"2020-01-01",1
"233",62440,"2021-03-30",1
"234",20198773,"2021-10-18",1
"235",20103853,"2019-11-14",1
"236",20052685,"2019-12-18",1
"237",20180829,"2019-12-31",1
"238",20185247,"2020-06-23",1
"239",20198810,"2019-12-17",1
"240",20198816,"2019-12-18",1
"241",85319,"2019-12-20",1
"242",41386,"2020-01-03",1
"243",20165579,"2020-02-18",1
"244",20198996,"2020-12-04",1
"245",22671,"2019-12-03",1
"246",20008584,"2021-04-17",1
"247",20125013,"2020-02-10",1
"248",55469,"2019-11-02",1
"249",133490,"2019-10-24",1
"250",140838,"2020-02-20",1
"251",20024405,"2019-12-03",1
"252",20120383,"2020-04-16",1
"253",20138949,"2020-03-07",1
"254",82930,"2021-10-28",1
"255",111782,"2019-11-13",1
"256",20199162,"2019-11-18",1
"257",20162427,"2019-11-18",1
"258",20199220,"2019-10-10",1
"259",20153828,"2020-02-13",1
"260",20199268,"2020-01-01",1
"261",20041696,"2021-03-30",1
"262",20088921,"2020-02-20",1
"263",20160581,"2019-12-09",1
"264",20199273,"2019-12-31",1
"265",20097935,"2019-12-13",1
"266",20180149,"2020-01-16",1
"267",1735,"2020-07-07",1
"268",16842,"2020-01-03",1
"269",20163100,"2020-01-02",1
"270",109061,"2019-11-25",1
"271",20062802,"2020-01-10",1
"272",20199469,"2019-12-27",1
"273",20017277,"2020-03-02",1
"274",20199068,"2019-11-27",1
"275",20199499,"2020-01-31",1
"276",128074,"2020-06-12",1
"277",128209,"2019-11-19",1
"278",20199580,"2020-01-30",1
"279",20199594,"2020-02-05",1
"280",73299,"2020-01-16",1
"281",78011,"2019-12-31",1
"282",10011487,"2020-08-18",1
"283",20199666,"2020-04-29",1
"284",20199694,"2020-09-10",1
"285",145001,"2019-11-06",1
"286",20028220,"2020-09-21",1
"287",20027606,"2020-09-14",1
"288",164669,"2020-05-16",1
