"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"676",TRUE,4776,726,2021-05-26
"677",TRUE,5693,764,2022-11-02
"678",TRUE,4810,684,2021-11-03
"679",TRUE,5687,764,2022-11-09
"680",TRUE,4760,690,2021-11-10
"681",TRUE,5677,760,2022-11-16
"682",TRUE,4771,696,2021-11-17
"683",TRUE,5652,753,2022-11-23
"684",TRUE,4736,686,2021-11-24
"685",TRUE,5641,758,2022-11-30
"686",TRUE,5575,757,2022-10-05
"687",TRUE,4854,697,2021-10-06
"688",TRUE,5653,771,2022-10-12
"689",TRUE,4861,694,2021-10-13
"690",TRUE,5635,776,2022-10-19
"691",TRUE,4865,702,2021-10-20
"692",TRUE,5630,752,2022-10-26
"693",TRUE,4827,694,2021-10-27
"694",TRUE,5285,779,2021-09-01
"695",TRUE,5525,733,2022-09-07
"696",TRUE,5300,782,2021-09-08
"697",TRUE,5601,764,2022-09-14
"698",TRUE,5330,789,2021-09-15
"699",TRUE,5606,763,2022-09-21
"700",TRUE,5104,742,2021-09-22
"701",TRUE,5563,751,2022-09-28
"702",TRUE,4943,706,2021-09-29
