"","50 Years and Over","n_per_day_date","n_per_day_age_date","date_"
"159",TRUE,4527,680,2021-03-08
"160",TRUE,5122,701,2022-03-14
"161",TRUE,4600,680,2021-03-15
"162",TRUE,5102,692,2022-03-21
"163",TRUE,4646,682,2021-03-22
"164",TRUE,5073,690,2022-03-28
"165",TRUE,4722,713,2021-03-29
"166",TRUE,4974,657,2022-05-02
"167",TRUE,4717,720,2021-05-03
"168",TRUE,5007,653,2022-05-09
"169",TRUE,4703,702,2021-05-10
"170",TRUE,5051,651,2022-05-16
"171",TRUE,4706,710,2021-05-17
"172",TRUE,5065,643,2022-05-23
"173",TRUE,4734,716,2021-05-24
"174",TRUE,5080,633,2022-05-30
"175",TRUE,4793,732,2021-05-31
"176",TRUE,4802,686,2021-11-01
"177",TRUE,5636,757,2022-11-07
"178",TRUE,4760,690,2021-11-08
"179",TRUE,5648,755,2022-11-14
"180",TRUE,4760,690,2021-11-15
"181",TRUE,5670,765,2022-11-21
"182",TRUE,4769,697,2021-11-22
"183",TRUE,5636,759,2022-11-28
"184",TRUE,4736,683,2021-11-29
"185",TRUE,5575,757,2022-10-03
"186",TRUE,4897,706,2021-10-04
"187",TRUE,5575,760,2022-10-10
"188",TRUE,4861,694,2021-10-11
"189",TRUE,5583,771,2022-10-17
"190",TRUE,5139,771,2021-10-18
"191",TRUE,5607,756,2022-10-24
"192",TRUE,4827,694,2021-10-25
"193",TRUE,5657,761,2022-10-31
"194",TRUE,5418,721,2022-09-05
"195",TRUE,5276,776,2021-09-06
"196",TRUE,5542,740,2022-09-12
"197",TRUE,5314,788,2021-09-13
"198",TRUE,5583,764,2022-09-19
"199",TRUE,5198,753,2021-09-20
"200",TRUE,5533,753,2022-09-26
"201",TRUE,4993,729,2021-09-27
"202",TRUE,5018,664,2022-04-02
"203",TRUE,4707,708,2021-04-03
"204",TRUE,5025,664,2022-04-09
"205",TRUE,4693,709,2021-04-10
"206",TRUE,5012,646,2022-04-16
"207",TRUE,4702,718,2021-04-17
"208",TRUE,5005,652,2022-04-23
"209",TRUE,4686,709,2021-04-24
"210",TRUE,4974,657,2022-04-30
"211",TRUE,5349,691,2022-08-06
"212",TRUE,5088,764,2021-08-07
"213",TRUE,5397,704,2022-08-13
"214",TRUE,5152,769,2021-08-14
"215",TRUE,5380,713,2022-08-20
"216",TRUE,5213,776,2021-08-21
"217",TRUE,5392,711,2022-08-27
"218",TRUE,5247,784,2021-08-28
"219",TRUE,5659,754,2022-12-03
"220",TRUE,4724,677,2021-12-04
"221",TRUE,5646,753,2022-12-10
"222",TRUE,4752,685,2021-12-11
"223",TRUE,5651,733,2022-12-17
"224",TRUE,4748,670,2021-12-18
"225",TRUE,5512,714,2022-12-24
"226",TRUE,4745,659,2021-12-25
"227",TRUE,5495,722,2022-12-31
"228",TRUE,4240,667,2021-02-06
"229",TRUE,5007,658,2022-02-12
"230",TRUE,4280,664,2021-02-13
"231",TRUE,5076,685,2022-02-19
"232",TRUE,4392,677,2021-02-20
"233",TRUE,5141,691,2022-02-26
"234",TRUE,4442,671,2021-02-27
"235",TRUE,4717,648,2022-01-01
"236",TRUE,3859,591,2021-01-02
"237",TRUE,4804,663,2022-01-08
"238",TRUE,3964,603,2021-01-09
"239",TRUE,4055,615,2021-01-16
"240",TRUE,4124,636,2021-01-23
"241",TRUE,4218,657,2021-01-30
"242",TRUE,5245,642,2022-07-02
"243",TRUE,4961,745,2021-07-03
"244",TRUE,5297,650,2022-07-09
"245",TRUE,4998,753,2021-07-10
"246",TRUE,5298,659,2022-07-16
"247",TRUE,4991,743,2021-07-17
"248",TRUE,5333,663,2022-07-23
"249",TRUE,5066,764,2021-07-24
"250",TRUE,5371,683,2022-07-30
"251",TRUE,5049,754,2021-07-31
"252",TRUE,5105,627,2022-06-04
"253",TRUE,4796,731,2021-06-05
"254",TRUE,5159,636,2022-06-11
"255",TRUE,4852,742,2021-06-12
"256",TRUE,5212,650,2022-06-18
"257",TRUE,4888,733,2021-06-19
"258",TRUE,5269,652,2022-06-25
