"","date_","21 and under","22-29","30-39","40-49","all ages 50+"
"1031","2022-09-07",509,1578,1716,986,733
"1032","2022-09-08",510,1584,1721,982,731
"1033","2022-09-09",515,1574,1720,981,737
"1034","2022-09-10",516,1569,1729,986,740
"1035","2022-09-11",516,1569,1729,986,740
"1036","2022-09-12",516,1569,1729,986,740
"1037","2022-09-13",518,1586,1746,995,769
"1038","2022-09-14",514,1593,1741,988,764
"1039","2022-09-15",512,1587,1735,983,765
"1040","2022-09-16",511,1594,1733,977,764
"1041","2022-09-17",511,1594,1733,977,764
"1042","2022-09-18",511,1594,1733,977,764
"1043","2022-09-19",511,1594,1733,977,764
"1044","2022-09-20",511,1622,1734,981,765
"1045","2022-09-21",508,1629,1729,975,763
"1046","2022-09-22",505,1613,1721,966,765
"1047","2022-09-23",504,1600,1709,962,760
"1048","2022-09-24",508,1602,1711,957,753
"1049","2022-09-25",508,1602,1711,957,753
"1050","2022-09-26",508,1602,1711,957,753
"1051","2022-09-27",515,1608,1724,980,757
"1052","2022-09-28",517,1594,1720,981,751
"1053","2022-09-29",521,1587,1713,982,751
"1054","2022-09-30",518,1591,1720,987,753
"1055","2022-10-01",520,1594,1717,982,762
"1056","2022-10-02",520,1594,1717,982,762
"1057","2022-10-03",521,1600,1718,977,757
"1058","2022-10-04",521,1600,1718,977,757
"1059","2022-10-05",521,1600,1718,977,757
"1060","2022-10-06",521,1600,1718,977,757
"1061","2022-10-07",521,1600,1718,977,757
"1062","2022-10-08",512,1588,1725,987,760
"1063","2022-10-09",512,1588,1725,987,760
"1064","2022-10-10",512,1588,1725,987,760
"1065","2022-10-11",512,1588,1725,987,760
"1066","2022-10-12",522,1597,1766,997,771
"1067","2022-10-13",519,1586,1761,999,765
"1068","2022-10-14",519,1586,1761,999,765
"1069","2022-10-15",516,1572,1743,977,771
"1070","2022-10-16",516,1572,1743,977,771
"1071","2022-10-17",516,1572,1743,977,771
"1072","2022-10-18",517,1589,1760,1004,775
"1073","2022-10-19",514,1585,1755,1003,776
"1074","2022-10-20",510,1586,1754,1007,767
"1075","2022-10-21",511,1577,1751,1004,761
"1076","2022-10-22",516,1577,1751,1005,756
"1077","2022-10-23",516,1577,1751,1005,756
"1078","2022-10-24",516,1577,1751,1005,756
"1079","2022-10-25",520,1593,1771,1003,760
"1080","2022-10-26",518,1595,1768,994,752
"1081","2022-10-27",518,1593,1767,997,754
"1082","2022-10-28",516,1593,1755,1005,755
"1083","2022-10-29",512,1611,1759,1010,761
"1084","2022-10-30",512,1611,1759,1010,761
"1085","2022-10-31",512,1611,1759,1010,761
"1086","2022-11-01",522,1624,1789,1026,772
"1087","2022-11-02",519,1603,1779,1024,764
"1088","2022-11-03",517,1599,1775,1020,763
"1089","2022-11-04",525,1596,1756,1022,756
"1090","2022-11-05",521,1588,1747,1019,757
"1091","2022-11-06",521,1588,1747,1019,757
"1092","2022-11-07",521,1588,1747,1019,757
"1093","2022-11-08",517,1606,1768,1031,764
"1094","2022-11-09",517,1606,1768,1031,764
"1095","2022-11-10",514,1600,1768,1025,760
"1096","2022-11-11",523,1584,1764,1020,755
"1097","2022-11-12",523,1584,1764,1020,755
"1098","2022-11-13",523,1584,1764,1020,755
"1099","2022-11-14",523,1584,1764,1020,755
"1100","2022-11-15",529,1607,1787,1036,764
"1101","2022-11-16",518,1592,1772,1032,760
"1102","2022-11-17",526,1605,1761,1026,766
"1103","2022-11-18",521,1603,1748,1022,766
"1104","2022-11-19",520,1607,1749,1029,765
"1105","2022-11-20",520,1607,1749,1029,765
"1106","2022-11-21",520,1607,1749,1029,765
"1107","2022-11-22",513,1615,1767,1040,763
"1108","2022-11-23",510,1592,1758,1038,753
"1109","2022-11-24",510,1580,1745,1036,755
"1110","2022-11-25",510,1580,1745,1036,755
"1111","2022-11-26",517,1586,1748,1026,759
"1112","2022-11-27",517,1586,1748,1026,759
"1113","2022-11-28",517,1586,1748,1026,759
"1114","2022-11-29",511,1593,1759,1030,762
"1115","2022-11-30",510,1587,1753,1033,758
"1116","2022-12-01",517,1590,1765,1031,754
"1117","2022-12-02",517,1590,1765,1031,754
"1118","2022-12-03",517,1590,1765,1031,754
"1119","2022-12-04",517,1590,1765,1031,754
"1120","2022-12-05",517,1590,1765,1031,754
"1121","2022-12-06",517,1590,1765,1031,754
"1122","2022-12-07",515,1616,1793,1030,761
"1123","2022-12-08",512,1594,1785,1021,764
"1124","2022-12-09",508,1581,1778,1016,758
"1125","2022-12-10",508,1590,1776,1019,753
"1126","2022-12-11",508,1590,1776,1019,753
"1127","2022-12-12",508,1590,1776,1019,753
"1128","2022-12-13",512,1603,1789,1032,758
"1129","2022-12-14",511,1605,1777,1023,746
"1130","2022-12-15",516,1608,1778,1018,750
"1131","2022-12-16",521,1612,1772,1015,740
"1132","2022-12-17",523,1603,1772,1019,733
"1133","2022-12-18",523,1603,1772,1019,733
"1134","2022-12-19",523,1603,1772,1019,733
"1135","2022-12-20",520,1586,1783,1020,731
"1136","2022-12-21",519,1574,1768,1011,724
"1137","2022-12-22",514,1567,1758,1005,723
"1138","2022-12-23",514,1553,1747,1003,717
"1139","2022-12-24",514,1548,1734,1001,714
"1140","2022-12-25",514,1548,1734,1001,714
"1141","2022-12-26",514,1548,1734,1001,714
"1142","2022-12-27",514,1548,1734,1001,714
"1143","2022-12-28",510,1556,1730,1002,717
"1144","2022-12-29",511,1549,1725,997,721
"1145","2022-12-30",506,1542,1730,993,722
"1146","2022-12-31",506,1542,1730,993,722
"1147","2023-01-01",506,1542,1730,993,722
"1148","2023-01-02",506,1542,1730,993,722
"1149","2023-01-03",506,1542,1730,993,722
"1150","2023-01-04",508,1564,1758,992,731
"1151","2023-01-05",507,1574,1751,997,734
"1152","2023-01-06",507,1570,1749,1006,743
"1153","2023-01-07",521,1574,1763,1018,742
"1154","2023-01-08",521,1574,1763,1018,742
"1155","2023-01-09",521,1574,1763,1018,742
"1156","2023-01-10",524,1597,1783,1028,759
"1157","2023-01-11",524,1597,1783,1028,759
"1158","2023-01-12",524,1597,1783,1028,759
"1159","2023-01-13",524,1601,1788,1016,753
"1160","2023-01-14",529,1596,1783,1018,753
"1161","2023-01-15",529,1596,1783,1018,753
"1162","2023-01-16",529,1596,1783,1018,753
"1163","2023-01-17",529,1596,1783,1018,753
"1164","2023-01-18",539,1617,1808,1038,769
"1165","2023-01-19",541,1618,1809,1045,771
"1166","2023-01-20",533,1607,1785,1040,761
"1167","2023-01-21",544,1601,1779,1044,771
"1168","2023-01-22",544,1601,1779,1044,771
"1169","2023-01-23",544,1601,1779,1044,771
"1170","2023-01-24",544,1601,1779,1044,771
"1171","2023-01-25",544,1601,1779,1044,771
"1172","2023-01-26",548,1593,1805,1049,763
"1173","2023-01-27",550,1593,1806,1056,764
"1174","2023-01-28",559,1580,1811,1053,767
"1175","2023-01-29",559,1580,1811,1053,767
"1176","2023-01-30",559,1580,1811,1053,767
"1177","2023-01-31",555,1593,1826,1075,778
"1178","2023-02-01",546,1588,1825,1068,778
"1179","2023-02-02",543,1585,1812,1064,776
"1180","2023-02-03",546,1582,1820,1061,768
"1181","2023-02-04",544,1576,1808,1057,771
"1182","2023-02-05",544,1576,1808,1057,771
"1183","2023-02-06",544,1576,1808,1057,771
"1184","2023-02-07",544,1592,1827,1068,776
"1185","2023-02-08",541,1580,1802,1067,769
"1186","2023-02-09",541,1569,1800,1067,767
"1187","2023-02-10",541,1569,1800,1067,767
"1188","2023-02-11",548,1572,1809,1067,773
"1189","2023-02-12",548,1572,1809,1067,773
"1190","2023-02-13",548,1572,1809,1067,773
"1191","2023-02-14",539,1576,1786,1047,766
