"","date_","n_per_day_age_date","n_per_day_date","age_var"
"1268",2020-07-27,432,2486,"40-49"
"1269",2020-07-27,706,2486,"22-29"
"1270",2020-07-27,238,2486,"21 and under"
"1271",2020-06-01,709,2383,"22-29"
"1272",2020-06-01,220,2383,"21 and under"
"1273",2020-06-01,324,2383,"all ages 50+"
"1274",2020-06-01,401,2383,"40-49"
"1275",2020-06-01,729,2383,"30-39"
"1276",2022-06-06,1507,5105,"22-29"
"1277",2022-06-06,1586,5105,"30-39"
"1278",2022-06-06,492,5105,"21 and under"
"1279",2022-06-06,892,5105,"40-49"
"1280",2022-06-06,627,5105,"all ages 50+"
"1281",2021-06-07,1563,4845,"30-39"
"1282",2021-06-07,835,4845,"40-49"
"1283",2021-06-07,394,4845,"21 and under"
"1284",2021-06-07,1312,4845,"22-29"
"1285",2021-06-07,737,4845,"all ages 50+"
"1286",2020-06-08,728,2381,"30-39"
"1287",2020-06-08,388,2381,"40-49"
"1288",2020-06-08,332,2381,"all ages 50+"
"1289",2020-06-08,230,2381,"21 and under"
"1290",2020-06-08,700,2381,"22-29"
"1291",2022-06-13,1519,5159,"22-29"
"1292",2022-06-13,1613,5159,"30-39"
"1293",2022-06-13,496,5159,"21 and under"
"1294",2022-06-13,894,5159,"40-49"
"1295",2022-06-13,636,5159,"all ages 50+"
"1296",2021-06-14,842,4893,"40-49"
"1297",2021-06-14,1570,4893,"30-39"
"1298",2021-06-14,1337,4893,"22-29"
"1299",2021-06-14,393,4893,"21 and under"
"1300",2021-06-14,745,4893,"all ages 50+"
"1301",2020-06-15,388,2381,"40-49"
"1302",2020-06-15,320,2381,"all ages 50+"
"1303",2020-06-15,703,2381,"22-29"
"1304",2020-06-15,231,2381,"21 and under"
"1305",2020-06-15,738,2381,"30-39"
"1306",2022-06-20,1517,5212,"22-29"
"1307",2022-06-20,920,5212,"40-49"
"1308",2022-06-20,1621,5212,"30-39"
"1309",2022-06-20,503,5212,"21 and under"
"1310",2022-06-20,650,5212,"all ages 50+"
"1311",2021-06-21,1576,4959,"30-39"
"1312",2021-06-21,861,4959,"40-49"
"1313",2021-06-21,412,4959,"21 and under"
"1314",2021-06-21,1363,4959,"22-29"
"1315",2021-06-21,741,4959,"all ages 50+"
"1316",2020-06-22,395,2389,"40-49"
"1317",2020-06-22,704,2389,"22-29"
"1318",2020-06-22,318,2389,"all ages 50+"
"1319",2020-06-22,223,2389,"21 and under"
"1320",2020-06-22,748,2389,"30-39"
"1321",2022-06-27,1533,5269,"22-29"
"1322",2022-06-27,947,5269,"40-49"
"1323",2022-06-27,1636,5269,"30-39"
"1324",2022-06-27,652,5269,"all ages 50+"
"1325",2022-06-27,500,5269,"21 and under"
"1326",2021-06-28,1576,4957,"30-39"
"1327",2021-06-28,737,4957,"all ages 50+"
"1328",2021-06-28,413,4957,"21 and under"
"1329",2021-06-28,863,4957,"40-49"
"1330",2021-06-28,1360,4957,"22-29"
"1331",2020-06-29,747,2391,"30-39"
"1332",2020-06-29,323,2391,"all ages 50+"
"1333",2020-06-29,405,2391,"40-49"
"1334",2020-06-29,690,2391,"22-29"
"1335",2020-06-29,226,2391,"21 and under"
"1336",2021-03-01,669,4479,"all ages 50+"
"1337",2021-03-01,1426,4479,"30-39"
"1338",2021-03-01,743,4479,"40-49"
"1339",2021-03-01,1249,4479,"22-29"
"1340",2021-03-01,391,4479,"21 and under"
"1341",2020-03-02,801,3095,"22-29"
"1342",2020-03-02,574,3095,"all ages 50+"
"1343",2020-03-02,922,3095,"30-39"
"1344",2020-03-02,537,3095,"40-49"
"1345",2020-03-02,260,3095,"21 and under"
"1346",2022-03-07,1495,5146,"22-29"
"1347",2022-03-07,892,5146,"40-49"
"1348",2022-03-07,696,5146,"all ages 50+"
"1349",2022-03-07,1563,5146,"30-39"
"1350",2022-03-07,496,5146,"21 and under"
"1351",2021-03-08,1436,4527,"30-39"
"1352",2021-03-08,1254,4527,"22-29"
"1353",2021-03-08,400,4527,"21 and under"
"1354",2021-03-08,754,4527,"40-49"
"1355",2021-03-08,680,4527,"all ages 50+"
"1356",2020-03-09,937,3178,"30-39"
"1357",2020-03-09,554,3178,"40-49"
"1358",2020-03-09,825,3178,"22-29"
"1359",2020-03-09,591,3178,"all ages 50+"
"1360",2020-03-09,270,3178,"21 and under"
"1361",2022-03-14,1482,5122,"22-29"
"1362",2022-03-14,1560,5122,"30-39"
"1363",2022-03-14,701,5122,"all ages 50+"
"1364",2022-03-14,496,5122,"21 and under"
"1365",2022-03-14,880,5122,"40-49"
"1366",2021-03-15,1477,4600,"30-39"
"1367",2021-03-15,781,4600,"40-49"
"1368",2021-03-15,410,4600,"21 and under"
"1369",2021-03-15,1251,4600,"22-29"
"1370",2021-03-15,680,4600,"all ages 50+"
"1371",2020-03-16,964,3276,"30-39"
"1372",2020-03-16,571,3276,"40-49"
"1373",2020-03-16,858,3276,"22-29"
"1374",2020-03-16,599,3276,"all ages 50+"
"1375",2020-03-16,281,3276,"21 and under"
"1376",2022-03-21,1463,5102,"22-29"
"1377",2022-03-21,1558,5102,"30-39"
"1378",2022-03-21,498,5102,"21 and under"
"1379",2022-03-21,692,5102,"all ages 50+"
"1380",2022-03-21,886,5102,"40-49"
"1381",2021-03-22,1486,4646,"30-39"
"1382",2021-03-22,412,4646,"21 and under"
"1383",2021-03-22,1266,4646,"22-29"
"1384",2021-03-22,682,4646,"all ages 50+"
"1385",2021-03-22,798,4646,"40-49"
"1386",2020-03-23,937,3175,"30-39"
"1387",2020-03-23,579,3175,"all ages 50+"
"1388",2020-03-23,557,3175,"40-49"
"1389",2020-03-23,843,3175,"22-29"
"1390",2020-03-23,259,3175,"21 and under"
"1391",2022-03-28,1459,5073,"22-29"
"1392",2022-03-28,690,5073,"all ages 50+"
"1393",2022-03-28,1550,5073,"30-39"
"1394",2022-03-28,877,5073,"40-49"
"1395",2022-03-28,491,5073,"21 and under"
"1396",2021-03-29,807,4722,"40-49"
"1397",2021-03-29,1280,4722,"22-29"
"1398",2021-03-29,713,4722,"all ages 50+"
"1399",2021-03-29,411,4722,"21 and under"
"1400",2021-03-29,1510,4722,"30-39"
"1401",2020-03-30,821,2670,"30-39"
"1402",2020-03-30,417,2670,"all ages 50+"
"1403",2020-03-30,730,2670,"22-29"
"1404",2020-03-30,466,2670,"40-49"
"1405",2020-03-30,236,2670,"21 and under"
"1406",2022-05-02,1474,4974,"22-29"
"1407",2022-05-02,1515,4974,"30-39"
"1408",2022-05-02,473,4974,"21 and under"
"1409",2022-05-02,849,4974,"40-49"
"1410",2022-05-02,657,4974,"all ages 50+"
"1411",2021-05-03,1496,4717,"30-39"
"1412",2021-05-03,379,4717,"21 and under"
"1413",2021-05-03,1289,4717,"22-29"
"1414",2021-05-03,831,4717,"40-49"
"1415",2021-05-03,720,4717,"all ages 50+"
"1416",2020-05-04,643,2160,"22-29"
"1417",2020-05-04,665,2160,"30-39"
"1418",2020-05-04,222,2160,"21 and under"
"1419",2020-05-04,270,2160,"all ages 50+"
"1420",2020-05-04,360,2160,"40-49"
"1421",2022-05-09,1479,5007,"22-29"
"1422",2022-05-09,1537,5007,"30-39"
"1423",2022-05-09,469,5007,"21 and under"
"1424",2022-05-09,865,5007,"40-49"
"1425",2022-05-09,653,5007,"all ages 50+"
"1426",2021-05-10,1503,4703,"30-39"
"1427",2021-05-10,828,4703,"40-49"
"1428",2021-05-10,1291,4703,"22-29"
"1429",2021-05-10,376,4703,"21 and under"
"1430",2021-05-10,702,4703,"all ages 50+"
"1431",2020-05-11,683,2212,"30-39"
"1432",2020-05-11,282,2212,"all ages 50+"
"1433",2020-05-11,366,2212,"40-49"
"1434",2020-05-11,215,2212,"21 and under"
"1435",2020-05-11,666,2212,"22-29"
"1436",2022-05-16,1507,5051,"22-29"
"1437",2022-05-16,1557,5051,"30-39"
"1438",2022-05-16,859,5051,"40-49"
"1439",2022-05-16,473,5051,"21 and under"
"1440",2022-05-16,651,5051,"all ages 50+"
"1441",2021-05-17,1497,4706,"30-39"
"1442",2021-05-17,374,4706,"21 and under"
"1443",2021-05-17,1287,4706,"22-29"
"1444",2021-05-17,835,4706,"40-49"
"1445",2021-05-17,710,4706,"all ages 50+"
"1446",2020-05-18,680,2275,"22-29"
"1447",2020-05-18,711,2275,"30-39"
"1448",2020-05-18,368,2275,"40-49"
"1449",2020-05-18,218,2275,"21 and under"
"1450",2020-05-18,296,2275,"all ages 50+"
"1451",2022-05-23,1510,5065,"22-29"
"1452",2022-05-23,1558,5065,"30-39"
"1453",2022-05-23,867,5065,"40-49"
"1454",2022-05-23,486,5065,"21 and under"
"1455",2022-05-23,643,5065,"all ages 50+"
"1456",2021-05-24,1510,4734,"30-39"
"1457",2021-05-24,1284,4734,"22-29"
"1458",2021-05-24,837,4734,"40-49"
"1459",2021-05-24,382,4734,"21 and under"
"1460",2021-05-24,716,4734,"all ages 50+"
"1461",2020-05-25,694,2332,"22-29"
"1462",2020-05-25,314,2332,"all ages 50+"
"1463",2020-05-25,389,2332,"40-49"
"1464",2020-05-25,724,2332,"30-39"
"1465",2020-05-25,211,2332,"21 and under"
"1466",2022-05-30,1523,5080,"22-29"
"1467",2022-05-30,1571,5080,"30-39"
"1468",2022-05-30,479,5080,"21 and under"
"1469",2022-05-30,872,5080,"40-49"
"1470",2022-05-30,633,5080,"all ages 50+"
"1471",2021-05-31,832,4793,"40-49"
"1472",2021-05-31,1536,4793,"30-39"
"1473",2021-05-31,1296,4793,"22-29"
"1474",2021-05-31,391,4793,"21 and under"
"1475",2021-05-31,732,4793,"all ages 50+"
"1476",2021-11-01,1377,4802,"22-29"
"1477",2021-11-01,1512,4802,"30-39"
"1478",2021-11-01,794,4802,"40-49"
"1479",2021-11-01,425,4802,"21 and under"
"1480",2021-11-01,686,4802,"all ages 50+"
"1481",2020-11-02,1038,3470,"30-39"
"1482",2020-11-02,1004,3470,"22-29"
"1483",2020-11-02,317,3470,"21 and under"
"1484",2020-11-02,512,3470,"all ages 50+"
"1485",2020-11-02,598,3470,"40-49"
"1486",2019-11-04,338,1344,"22-29"
"1487",2019-11-04,247,1344,"40-49"
"1488",2019-11-04,105,1344,"21 and under"
"1489",2019-11-04,411,1344,"30-39"
"1490",2019-11-04,242,1344,"all ages 50+"
"1491",2022-11-07,1747,5636,"30-39"
"1492",2022-11-07,1588,5636,"22-29"
"1493",2022-11-07,1019,5636,"40-49"
"1494",2022-11-07,521,5636,"21 and under"
"1495",2022-11-07,757,5636,"all ages 50+"
"1496",2021-11-08,785,4760,"40-49"
"1497",2021-11-08,690,4760,"all ages 50+"
"1498",2021-11-08,1493,4760,"30-39"
"1499",2021-11-08,415,4760,"21 and under"
"1500",2021-11-08,1370,4760,"22-29"
"1501",2020-11-09,526,3506,"all ages 50+"
"1502",2020-11-09,1042,3506,"30-39"
"1503",2020-11-09,1015,3506,"22-29"
"1504",2020-11-09,325,3506,"21 and under"
"1505",2020-11-09,598,3506,"40-49"
"1506",2019-11-11,405,1558,"22-29"
"1507",2019-11-11,467,1558,"30-39"
"1508",2019-11-11,281,1558,"all ages 50+"
"1509",2019-11-11,281,1558,"40-49"
"1510",2019-11-11,124,1558,"21 and under"
"1511",2022-11-14,1764,5648,"30-39"
"1512",2022-11-14,1584,5648,"22-29"
"1513",2022-11-14,523,5648,"21 and under"
"1514",2022-11-14,1020,5648,"40-49"
"1515",2022-11-14,755,5648,"all ages 50+"
"1516",2021-11-15,785,4760,"40-49"
"1517",2021-11-15,690,4760,"all ages 50+"
"1518",2021-11-15,1493,4760,"30-39"
"1519",2021-11-15,415,4760,"21 and under"
"1520",2021-11-15,1370,4760,"22-29"
"1521",2020-11-16,1057,3574,"30-39"
"1522",2020-11-16,1027,3574,"22-29"
"1523",2020-11-16,336,3574,"21 and under"
"1524",2020-11-16,540,3574,"all ages 50+"
"1525",2020-11-16,614,3574,"40-49"
"1526",2019-11-18,475,1805,"22-29"
"1527",2019-11-18,551,1805,"30-39"
"1528",2019-11-18,326,1805,"40-49"
"1529",2019-11-18,316,1805,"all ages 50+"
"1530",2019-11-18,137,1805,"21 and under"
"1531",2022-11-21,1749,5670,"30-39"
"1532",2022-11-21,1607,5670,"22-29"
"1533",2022-11-21,765,5670,"all ages 50+"
"1534",2022-11-21,520,5670,"21 and under"
"1535",2022-11-21,1029,5670,"40-49"
"1536",2021-11-22,1382,4769,"22-29"
"1537",2021-11-22,427,4769,"21 and under"
"1538",2021-11-22,1470,4769,"30-39"
"1539",2021-11-22,789,4769,"40-49"
"1540",2021-11-22,697,4769,"all ages 50+"
"1541",2020-11-23,1094,3642,"30-39"
"1542",2020-11-23,1044,3642,"22-29"
"1543",2020-11-23,338,3642,"21 and under"
"1544",2020-11-23,550,3642,"all ages 50+"
"1545",2020-11-23,614,3642,"40-49"
"1546",2019-11-25,520,2009,"22-29"
"1547",2019-11-25,160,2009,"21 and under"
"1548",2019-11-25,615,2009,"30-39"
"1549",2019-11-25,351,2009,"40-49"
"1550",2019-11-25,361,2009,"all ages 50+"
"1551",2022-11-28,1748,5636,"30-39"
"1552",2022-11-28,1586,5636,"22-29"
"1553",2022-11-28,759,5636,"all ages 50+"
"1554",2022-11-28,517,5636,"21 and under"
"1555",2022-11-28,1026,5636,"40-49"
"1556",2021-11-29,1385,4736,"22-29"
"1557",2021-11-29,1461,4736,"30-39"
"1558",2021-11-29,433,4736,"21 and under"
"1559",2021-11-29,683,4736,"all ages 50+"
"1560",2021-11-29,769,4736,"40-49"
"1561",2020-11-30,1107,3657,"30-39"
"1562",2020-11-30,330,3657,"21 and under"
"1563",2020-11-30,1048,3657,"22-29"
"1564",2020-11-30,557,3657,"all ages 50+"
"1565",2020-11-30,615,3657,"40-49"
"1566",2022-10-03,977,5575,"40-49"
"1567",2022-10-03,1718,5575,"30-39"
"1568",2022-10-03,1600,5575,"22-29"
"1569",2022-10-03,521,5575,"21 and under"
"1570",2022-10-03,757,5575,"all ages 50+"
"1571",2021-10-04,1563,4897,"30-39"
"1572",2021-10-04,424,4897,"21 and under"
"1573",2021-10-04,1398,4897,"22-29"
"1574",2021-10-04,706,4897,"all ages 50+"
"1575",2021-10-04,803,4897,"40-49"
"1576",2020-10-05,901,3156,"22-29"
"1577",2020-10-05,960,3156,"30-39"
"1578",2020-10-05,521,3156,"40-49"
"1579",2020-10-05,309,3156,"21 and under"
"1580",2020-10-05,465,3156,"all ages 50+"
"1581",2022-10-10,1725,5575,"30-39"
"1582",2022-10-10,1588,5575,"22-29"
"1583",2022-10-10,987,5575,"40-49"
"1584",2022-10-10,512,5575,"21 and under"
"1585",2022-10-10,760,5575,"all ages 50+"
"1586",2021-10-11,1399,4861,"22-29"
"1587",2021-10-11,795,4861,"40-49"
"1588",2021-10-11,694,4861,"all ages 50+"
"1589",2021-10-11,1525,4861,"30-39"
"1590",2021-10-11,442,4861,"21 and under"
"1591",2020-10-12,484,3234,"all ages 50+"
"1592",2020-10-12,931,3234,"22-29"
"1593",2020-10-12,549,3234,"40-49"
"1594",2020-10-12,964,3234,"30-39"
"1595",2020-10-12,306,3234,"21 and under"
"1596",2019-10-14,102,367,"30-39"
"1597",2019-10-14,98,367,"22-29"
"1598",2019-10-14,30,367,"21 and under"
"1599",2019-10-14,67,367,"40-49"
"1600",2019-10-14,69,367,"all ages 50+"
"1601",2022-10-17,771,5583,"all ages 50+"
"1602",2022-10-17,1572,5583,"22-29"
"1603",2022-10-17,1743,5583,"30-39"
"1604",2022-10-17,977,5583,"40-49"
"1605",2022-10-17,516,5583,"21 and under"
"1606",2021-10-18,1419,5139,"22-29"
"1607",2021-10-18,874,5139,"40-49"
"1608",2021-10-18,771,5139,"all ages 50+"
"1609",2021-10-18,1663,5139,"30-39"
"1610",2021-10-18,404,5139,"21 and under"
"1611",2020-10-19,492,3278,"all ages 50+"
"1612",2020-10-19,975,3278,"30-39"
"1613",2020-10-19,566,3278,"40-49"
"1614",2020-10-19,934,3278,"22-29"
"1615",2020-10-19,310,3278,"21 and under"
"1616",2019-10-21,186,705,"22-29"
"1617",2019-10-21,127,705,"40-49"
"1618",2019-10-21,218,705,"30-39"
"1619",2019-10-21,132,705,"all ages 50+"
"1620",2019-10-21,41,705,"21 and under"
"1621",2022-10-24,1751,5607,"30-39"
"1622",2022-10-24,756,5607,"all ages 50+"
"1623",2022-10-24,1577,5607,"22-29"
"1624",2022-10-24,1005,5607,"40-49"
"1625",2022-10-24,516,5607,"21 and under"
"1626",2021-10-25,1367,4827,"22-29"
"1627",2021-10-25,1524,4827,"30-39"
"1628",2021-10-25,694,4827,"all ages 50+"
"1629",2021-10-25,802,4827,"40-49"
"1630",2021-10-25,431,4827,"21 and under"
"1631",2020-10-26,509,3419,"all ages 50+"
"1632",2020-10-26,1015,3419,"30-39"
"1633",2020-10-26,981,3419,"22-29"
"1634",2020-10-26,316,3419,"21 and under"
"1635",2020-10-26,597,3419,"40-49"
"1636",2022-10-31,1759,5657,"30-39"
"1637",2022-10-31,1611,5657,"22-29"
"1638",2022-10-31,761,5657,"all ages 50+"
"1639",2022-10-31,1010,5657,"40-49"
"1640",2022-10-31,512,5657,"21 and under"
"1641",2022-09-05,1554,5418,"22-29"
"1642",2022-09-05,1679,5418,"30-39"
"1643",2022-09-05,966,5418,"40-49"
"1644",2022-09-05,498,5418,"21 and under"
"1645",2022-09-05,721,5418,"all ages 50+"
"1646",2021-09-06,1683,5276,"30-39"
"1647",2021-09-06,1484,5276,"22-29"
"1648",2021-09-06,776,5276,"all ages 50+"
"1649",2021-09-06,885,5276,"40-49"
"1650",2021-09-06,439,5276,"21 and under"
"1651",2020-09-07,412,2849,"all ages 50+"
"1652",2020-09-07,817,2849,"22-29"
"1653",2020-09-07,864,2849,"30-39"
"1654",2020-09-07,481,2849,"40-49"
"1655",2020-09-07,275,2849,"21 and under"
"1656",2022-09-12,1729,5542,"30-39"
"1657",2022-09-12,1569,5542,"22-29"
"1658",2022-09-12,516,5542,"21 and under"
"1659",2022-09-12,986,5542,"40-49"
"1660",2022-09-12,740,5542,"all ages 50+"
"1661",2021-09-13,1688,5314,"30-39"
"1662",2021-09-13,438,5314,"21 and under"
"1663",2021-09-13,1488,5314,"22-29"
"1664",2021-09-13,788,5314,"all ages 50+"
"1665",2021-09-13,902,5314,"40-49"
"1666",2020-09-14,855,2965,"22-29"
"1667",2020-09-14,437,2965,"all ages 50+"
"1668",2020-09-14,887,2965,"30-39"
"1669",2020-09-14,491,2965,"40-49"
"1670",2020-09-14,295,2965,"21 and under"
"1671",2022-09-19,1733,5583,"30-39"
"1672",2022-09-19,1594,5583,"22-29"
"1673",2022-09-19,511,5583,"21 and under"
"1674",2022-09-19,977,5583,"40-49"
"1675",2022-09-19,764,5583,"all ages 50+"
"1676",2021-09-20,1642,5198,"30-39"
"1677",2021-09-20,878,5198,"40-49"
"1678",2021-09-20,450,5198,"21 and under"
"1679",2021-09-20,1470,5198,"22-29"
"1680",2021-09-20,753,5198,"all ages 50+"
"1681",2020-09-21,445,3024,"all ages 50+"
"1682",2020-09-21,876,3024,"22-29"
"1683",2020-09-21,501,3024,"40-49"
"1684",2020-09-21,910,3024,"30-39"
"1685",2020-09-21,292,3024,"21 and under"
"1686",2022-09-26,1711,5533,"30-39"
"1687",2022-09-26,1602,5533,"22-29"
"1688",2022-09-26,957,5533,"40-49"
"1689",2022-09-26,508,5533,"21 and under"
"1690",2022-09-26,753,5533,"all ages 50+"
"1691",2021-09-27,1590,4993,"30-39"
"1692",2021-09-27,429,4993,"21 and under"
"1693",2021-09-27,1418,4993,"22-29"
"1694",2021-09-27,729,4993,"all ages 50+"
"1695",2021-09-27,823,4993,"40-49"
"1696",2020-09-28,456,3080,"all ages 50+"
"1697",2020-09-28,887,3080,"22-29"
"1698",2020-09-28,931,3080,"30-39"
"1699",2020-09-28,505,3080,"40-49"
"1700",2020-09-28,301,3080,"21 and under"
"1701",2022-04-02,1448,5018,"22-29"
"1702",2022-04-02,870,5018,"40-49"
"1703",2022-04-02,1539,5018,"30-39"
"1704",2022-04-02,664,5018,"all ages 50+"
"1705",2022-04-02,493,5018,"21 and under"
"1706",2021-04-03,805,4707,"40-49"
"1707",2021-04-03,1272,4707,"22-29"
"1708",2021-04-03,1509,4707,"30-39"
"1709",2021-04-03,409,4707,"21 and under"
"1710",2021-04-03,708,4707,"all ages 50+"
"1711",2020-04-04,774,2495,"30-39"
"1712",2020-04-04,361,2495,"all ages 50+"
"1713",2020-04-04,425,2495,"40-49"
"1714",2020-04-04,226,2495,"21 and under"
"1715",2020-04-04,709,2495,"22-29"
"1716",2022-04-09,1464,5025,"22-29"
"1717",2022-04-09,869,5025,"40-49"
"1718",2022-04-09,1534,5025,"30-39"
"1719",2022-04-09,489,5025,"21 and under"
"1720",2022-04-09,664,5025,"all ages 50+"
"1721",2021-04-10,1499,4693,"30-39"
"1722",2021-04-10,391,4693,"21 and under"
"1723",2021-04-10,1282,4693,"22-29"
"1724",2021-04-10,811,4693,"40-49"
"1725",2021-04-10,709,4693,"all ages 50+"
"1726",2020-04-11,672,2330,"22-29"
"1727",2020-04-11,726,2330,"30-39"
"1728",2020-04-11,320,2330,"all ages 50+"
"1729",2020-04-11,221,2330,"21 and under"
"1730",2020-04-11,391,2330,"40-49"
"1731",2022-04-16,1538,5012,"30-39"
"1732",2022-04-16,1479,5012,"22-29"
"1733",2022-04-16,861,5012,"40-49"
"1734",2022-04-16,483,5012,"21 and under"
"1735",2022-04-16,646,5012,"all ages 50+"
"1736",2021-04-17,1485,4702,"30-39"
"1737",2021-04-17,829,4702,"40-49"
"1738",2021-04-17,1288,4702,"22-29"
"1739",2021-04-17,379,4702,"21 and under"
"1740",2021-04-17,718,4702,"all ages 50+"
"1741",2020-04-18,645,2184,"22-29"
"1742",2020-04-18,277,2184,"all ages 50+"
"1743",2020-04-18,214,2184,"21 and under"
"1744",2020-04-18,682,2184,"30-39"
"1745",2020-04-18,366,2184,"40-49"
"1746",2022-04-23,1491,5005,"22-29"
"1747",2022-04-23,1526,5005,"30-39"
"1748",2022-04-23,477,5005,"21 and under"
"1749",2022-04-23,854,5005,"40-49"
"1750",2022-04-23,652,5005,"all ages 50+"
"1751",2021-04-24,1488,4686,"30-39"
"1752",2021-04-24,384,4686,"21 and under"
"1753",2021-04-24,1275,4686,"22-29"
"1754",2021-04-24,828,4686,"40-49"
"1755",2021-04-24,709,4686,"all ages 50+"
"1756",2020-04-25,629,2105,"22-29"
"1757",2020-04-25,656,2105,"30-39"
"1758",2020-04-25,260,2105,"all ages 50+"
"1759",2020-04-25,352,2105,"40-49"
"1760",2020-04-25,208,2105,"21 and under"
"1761",2022-04-30,1474,4974,"22-29"
"1762",2022-04-30,1515,4974,"30-39"
"1763",2022-04-30,473,4974,"21 and under"
"1764",2022-04-30,849,4974,"40-49"
"1765",2022-04-30,657,4974,"all ages 50+"
"1766",2020-08-01,765,2514,"30-39"
"1767",2020-08-01,357,2514,"all ages 50+"
"1768",2020-08-01,428,2514,"40-49"
"1769",2020-08-01,719,2514,"22-29"
"1770",2020-08-01,245,2514,"21 and under"
"1771",2022-08-06,1569,5349,"22-29"
"1772",2022-08-06,1635,5349,"30-39"
"1773",2022-08-06,961,5349,"40-49"
"1774",2022-08-06,691,5349,"all ages 50+"
"1775",2022-08-06,493,5349,"21 and under"
"1776",2021-08-07,1655,5088,"30-39"
"1777",2021-08-07,764,5088,"all ages 50+"
"1778",2021-08-07,402,5088,"21 and under"
"1779",2021-08-07,1400,5088,"22-29"
"1780",2021-08-07,859,5088,"40-49"
"1781",2020-08-08,735,2567,"22-29"
"1782",2020-08-08,365,2567,"all ages 50+"
"1783",2020-08-08,437,2567,"40-49"
"1784",2020-08-08,788,2567,"30-39"
"1785",2020-08-08,242,2567,"21 and under"
"1786",2022-08-13,1578,5397,"22-29"
"1787",2022-08-13,1656,5397,"30-39"
"1788",2022-08-13,969,5397,"40-49"
"1789",2022-08-13,487,5397,"21 and under"
"1790",2022-08-13,704,5397,"all ages 50+"
"1791",2021-08-14,1420,5152,"22-29"
"1792",2021-08-14,1672,5152,"30-39"
"1793",2021-08-14,769,5152,"all ages 50+"
"1794",2021-08-14,402,5152,"21 and under"
"1795",2021-08-14,881,5152,"40-49"
"1796",2020-08-15,376,2623,"all ages 50+"
"1797",2020-08-15,800,2623,"30-39"
"1798",2020-08-15,452,2623,"40-49"
"1799",2020-08-15,741,2623,"22-29"
"1800",2020-08-15,254,2623,"21 and under"
"1801",2022-08-20,1554,5380,"22-29"
"1802",2022-08-20,1660,5380,"30-39"
"1803",2022-08-20,960,5380,"40-49"
"1804",2022-08-20,493,5380,"21 and under"
"1805",2022-08-20,713,5380,"all ages 50+"
"1806",2021-08-21,1669,5213,"30-39"
"1807",2021-08-21,1452,5213,"22-29"
"1808",2021-08-21,776,5213,"all ages 50+"
"1809",2021-08-21,425,5213,"21 and under"
"1810",2021-08-21,879,5213,"40-49"
"1811",2020-08-22,267,2707,"21 and under"
"1812",2020-08-22,390,2707,"all ages 50+"
"1813",2020-08-22,461,2707,"40-49"
"1814",2020-08-22,761,2707,"22-29"
"1815",2020-08-22,828,2707,"30-39"
"1816",2022-08-27,1552,5392,"22-29"
"1817",2022-08-27,1681,5392,"30-39"
"1818",2022-08-27,954,5392,"40-49"
"1819",2022-08-27,494,5392,"21 and under"
"1820",2022-08-27,711,5392,"all ages 50+"
"1821",2021-08-28,1687,5247,"30-39"
"1822",2021-08-28,435,5247,"21 and under"
"1823",2021-08-28,1463,5247,"22-29"
"1824",2021-08-28,784,5247,"all ages 50+"
"1825",2021-08-28,869,5247,"40-49"
"1826",2020-08-29,397,2764,"all ages 50+"
"1827",2020-08-29,481,2764,"40-49"
"1828",2020-08-29,778,2764,"22-29"
"1829",2020-08-29,267,2764,"21 and under"
"1830",2020-08-29,840,2764,"30-39"
"1831",2022-12-03,1765,5659,"30-39"
"1832",2022-12-03,1590,5659,"22-29"
"1833",2022-12-03,754,5659,"all ages 50+"
"1834",2022-12-03,517,5659,"21 and under"
"1835",2022-12-03,1031,5659,"40-49"
"1836",2021-12-04,433,4724,"21 and under"
"1837",2021-12-04,1357,4724,"22-29"
"1838",2021-12-04,1476,4724,"30-39"
"1839",2021-12-04,677,4724,"all ages 50+"
"1840",2021-12-04,778,4724,"40-49"
"1841",2020-12-05,1129,3675,"30-39"
"1842",2020-12-05,1029,3675,"22-29"
"1843",2020-12-05,340,3675,"21 and under"
"1844",2020-12-05,558,3675,"all ages 50+"
"1845",2020-12-05,619,3675,"40-49"
"1846",2019-12-07,561,2210,"22-29"
"1847",2019-12-07,674,2210,"30-39"
"1848",2019-12-07,409,2210,"all ages 50+"
"1849",2019-12-07,397,2210,"40-49"
"1850",2019-12-07,168,2210,"21 and under"
"1851",2022-12-10,1776,5646,"30-39"
"1852",2022-12-10,1590,5646,"22-29"
"1853",2022-12-10,753,5646,"all ages 50+"
"1854",2022-12-10,508,5646,"21 and under"
"1855",2022-12-10,1019,5646,"40-49"
"1856",2021-12-11,1359,4752,"22-29"
"1857",2021-12-11,435,4752,"21 and under"
"1858",2021-12-11,788,4752,"40-49"
"1859",2021-12-11,1477,4752,"30-39"
"1860",2021-12-11,685,4752,"all ages 50+"
"1861",2020-12-12,1050,3748,"22-29"
"1862",2020-12-12,1160,3748,"30-39"
"1863",2020-12-12,567,3748,"all ages 50+"
"1864",2020-12-12,628,3748,"40-49"
"1865",2020-12-12,342,3748,"21 and under"
"1866",2019-12-14,597,2301,"22-29"
"1867",2019-12-14,688,2301,"30-39"
"1868",2019-12-14,401,2301,"40-49"
"1869",2019-12-14,438,2301,"all ages 50+"
"1870",2019-12-14,175,2301,"21 and under"
"1871",2022-12-17,1772,5651,"30-39"
"1872",2022-12-17,1603,5651,"22-29"
